station_id,standard_name,sensor_number,sensor_height
144,Tair_2_Avg,1,2
144,RH_2_Avg,1,2
144,VP_2_Avg,1,2
144,VPsat_2_Avg,1,2
144,VPD_2_Avg,1,2
144,WS_1_Avg,0,3.1
144,WSrs_1_Avg,0,3.1
144,WDuv_1_Avg,0,3.1
144,WDrs_1_Avg,0,3.1
144,WD_1_StdY,0,3.1
144,WD_1_StdCS,0,3.1
144,P_1_Avg,0,1.4
144,Psl_1_Avg,0,1.4
144,SM_1_Avg,0,-0.08
144,SM_2_Avg,1,-0.31
144,SM_3_Avg,2,-0.61
144,Tsoil_1_Avg,0,-0.08
144,Tsoil_2_Avg,1,-0.08
144,Tsoil_3_Avg,2,-0.16
144,Tsoil_4_Avg,3,-0.46
144,SHF_1_Avg,0,-0.08
144,RF_1_Tot300s,0,0.83
144,RFint_1_Max,0,0.83
145,Tair_1_Avg,0,1.63
145,RH_1_Avg,0,1.63
145,VP_1_Avg,0,1.63
145,VPsat_1_Avg,0,1.63
145,VPD_1_Avg,0,1.63
145,WS_1_Avg,0,1.7
145,WSrs_1_Avg,0,1.7
145,WDuv_1_Avg,0,1.7
145,WDrs_1_Avg,0,1.7
145,WD_1_StdY,0,1.7
145,WD_1_StdCS,0,1.7
145,P_1_Avg,0,1.63
145,Psl_1_Avg,0,1.63
145,SM_1_Avg,0,-0.08
145,Tsoil_1_Avg,0,-0.08
145,RF_1_Tot300s,0,1.92
145,RFint_1_Max,0,1.92
151,SWin_1_Avg,0,1.6
151,SWout_1_Avg,0,1.6
151,LWin_1_Avg,0,1.6
151,LWout_1_Avg,0,1.6
151,SWnet_1_Avg,0,1.6
151,LWnet_1_Avg,0,1.6
151,Rin_1_Avg,0,1.6
151,Rout_1_Avg,0,1.6
151,Rnet_1_Avg,0,1.6
151,Albedo_1_Avg,0,1.6
151,Tsrf_1_Avg,0,1.6
151,Tsky_1_Avg,0,1.6
151,Tair_1_Avg,0,1.7
151,RH_1_Avg,0,1.7
151,VP_1_Avg,0,1.7
151,VPsat_1_Avg,0,1.7
151,VPD_1_Avg,0,1.7
151,Tair_2_Avg,1,1.7
151,RH_2_Avg,1,1.7
151,VP_2_Avg,1,1.7
151,VPsat_2_Avg,1,1.7
151,VPD_2_Avg,1,1.7
151,WS_1_Avg,0,2.2
151,WSrs_1_Avg,0,2.2
151,WDuv_1_Avg,0,2.2
151,WDrs_1_Avg,0,2.2
151,WD_1_StdY,0,2.2
151,WD_1_StdCS,0,2.2
151,P_1_Avg,0,
151,Psl_1_Avg,0,
151,SM_1_Avg,0,-0.15
151,SM_2_Avg,1,-0.35
151,Tsoil_1_Avg,0,-0.04
151,SHF_1_Avg,0,-0.08
151,RF_1_Tot300s,0,0.6
151,RFint_1_Max,0,0.6
